Freq.	I(C1)/V(n001)
1.00000000000000e+001	8.57630715400407e-007,4.27084379547601e-005
1.25892541179417e+001	1.35893269709663e-006,5.37540646459424e-005
1.58489319246111e+001	2.15295889908075e-006,6.76470870255646e-005
1.99526231496888e+001	3.41019158782713e-006,8.51122633698883e-005
2.51188643150958e+001	5.39972739875854e-006,1.07049636353915e-004
3.16227766016838e+001	8.54530667906164e-006,1.34567757305502e-004
3.98107170553497e+001	1.35116581051839e-005,1.69013738582644e-004
5.01187233627272e+001	2.13352881769620e-005,2.11988291285521e-004
6.30957344480194e+001	3.36169871270927e-005,2.65321319728035e-004
7.94328234724282e+001	5.27914720568802e-005,3.30961238591702e-004
1.00000000000000e+002	8.24719811787394e-005,4.10695352665148e-004
1.25892541179417e+002	1.27811596935249e-004,5.05572708555554e-004
1.58489319246111e+002	1.95692016064885e-004,6.14874480260708e-004
1.99526231496888e+002	2.94317907359354e-004,7.34564689416903e-004
2.51188643150958e+002	4.31546881208799e-004,8.55542017059771e-004
3.16227766016838e+002	6.11421469800363e-004,9.62839825995610e-004
3.98107170553498e+002	8.29599020470409e-004,1.03772335625047e-003
5.01187233627273e+002	1.07065572911143e-003,1.06380788807186e-003
6.30957344480194e+002	1.31101349188002e-003,1.03471446900288e-003
7.94328234724282e+002	1.52735990158167e-003,9.57535194809726e-004
1.00000000000000e+003	1.70487489785752e-003,8.48996456030393e-004
1.25892541179417e+003	1.83979045271599e-003,7.27749175081114e-004
1.58489319246111e+003	1.93648070220889e-003,6.08452296240221e-004
1.99526231496888e+003	2.00289672680091e-003,4.99887086469487e-004
2.51188643150958e+003	2.04719834867761e-003,4.05857226830856e-004
3.16227766016838e+003	2.07617343233071e-003,3.26946724159802e-004
3.98107170553498e+003	2.09488129594467e-003,2.62043131167317e-004
5.01187233627273e+003	2.10685962297518e-003,2.09338429248516e-004
6.30957344480194e+003	2.11448817315164e-003,1.66885506583005e-004
7.94328234724283e+003	2.11932995238075e-003,1.32865411532510e-004
1.00000000000000e+004	2.12239633404583e-003,1.05691447986072e-004
1.25892541179417e+004	2.12433565983530e-003,8.40304134505280e-005
1.58489319246112e+004	2.12556111628740e-003,6.67862344576437e-005
1.99526231496888e+004	2.12633505477130e-003,5.30695078365496e-005
2.51188643150958e+004	2.12682366699777e-003,4.21642952185594e-005
3.16227766016839e+004	2.12713207602934e-003,3.34971468800575e-005
3.98107170553498e+004	2.12732671499910e-003,2.66101642366522e-005
5.01187233627273e+004	2.12744954221535e-003,2.11384252000555e-005
6.30957344480195e+004	2.12752704824770e-003,1.67914596886651e-005
7.94328234724283e+004	2.12757595415384e-003,1.33382371347259e-005
1.00000000000000e+005	2.12760681285141e-003,1.05950920282491e-005
