Freq.	V(n001)/I(C1)
6.30957344480194e+001	4.70000000000000e+002,-3.70946449783648e+003
7.94328234724282e+001	4.70000000000000e+002,-2.94653238633885e+003
1.00000000000000e+002	4.70000000000000e+002,-2.34051386899846e+003
1.25892541179417e+002	4.70000000000000e+002,-1.85913624990925e+003
1.58489319246111e+002	4.70000000000000e+002,-1.47676441550233e+003
1.99526231496888e+002	4.70000000000000e+002,-1.17303567126960e+003
2.51188643150958e+002	4.70000000000000e+002,-9.31775354028195e+002
3.16227766016838e+002	4.70000000000000e+002,-7.40135472124809e+002
3.98107170553498e+002	4.70000000000000e+002,-5.87910503029722e+002
5.01187233627273e+002	4.70000000000000e+002,-4.66993912047463e+002
6.30957344480194e+002	4.70000000000000e+002,-3.70946449783648e+002
7.94328234724282e+002	4.70000000000000e+002,-2.94653238633885e+002
1.00000000000000e+003	4.70000000000000e+002,-2.34051386899846e+002
1.25892541179417e+003	4.70000000000000e+002,-1.85913624990924e+002
1.58489319246111e+003	4.70000000000000e+002,-1.47676441550233e+002
1.99526231496888e+003	4.70000000000000e+002,-1.17303567126960e+002
2.51188643150958e+003	4.70000000000000e+002,-9.31775354028197e+001
3.16227766016838e+003	4.70000000000000e+002,-7.40135472124808e+001
3.98107170553498e+003	4.70000000000000e+002,-5.87910503029725e+001
5.01187233627273e+003	4.70000000000000e+002,-4.66993912047463e+001
6.30957344480194e+003	4.70000000000000e+002,-3.70946449783655e+001
7.94328234724283e+003	4.70000000000000e+002,-2.94653238633890e+001
1.00000000000000e+004	4.70000000000000e+002,-2.34051386899829e+001
1.25892541179417e+004	4.70000000000000e+002,-1.85913624990931e+001
1.58489319246112e+004	4.70000000000000e+002,-1.47676441550262e+001
1.99526231496888e+004	4.70000000000000e+002,-1.17303567126965e+001
2.51188643150958e+004	4.70000000000000e+002,-9.31775354028147e+000
3.16227766016839e+004	4.70000000000000e+002,-7.40135472124293e+000
3.98107170553498e+004	4.70000000000000e+002,-5.87910503029236e+000
5.01187233627273e+004	4.70000000000000e+002,-4.66993912047407e+000
6.30957344480195e+004	4.70000000000000e+002,-3.70946449784161e+000
7.94328234724283e+004	4.70000000000000e+002,-2.94653238634406e+000
1.00000000000000e+005	4.70000000000000e+002,-2.34051386900914e+000
