time	I(R1)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-014	5.000000e-003
1.000000000000000e-012	5.000000e-003
2.943571248736806e-006	4.855306e-003
5.887141497473613e-006	4.714513e-003
8.830711746210417e-006	4.577620e-003
1.177428199494722e-005	4.444628e-003
1.471785224368403e-005	4.315536e-003
1.766142249242084e-005	4.190344e-003
2.060499274115764e-005	4.069053e-003
2.771994809830050e-005	3.792560e-003
3.483490345544336e-005	3.532221e-003
4.194985881258623e-005	3.288034e-003
4.906481416972909e-005	3.060001e-003
5.617976952687196e-005	2.848121e-003
6.329472488401483e-005	2.652394e-003
7.040968024115767e-005	2.472820e-003
7.947776059830054e-005	2.261968e-003
8.854584095544340e-005	2.066062e-003
9.761392131258627e-005	1.885103e-003
1.066820016697291e-004	1.719090e-003
1.157500820268720e-004	1.568025e-003
1.248181623840149e-004	1.431907e-003
1.338862427411577e-004	1.310736e-003
1.429543230983006e-004	1.198972e-003
1.520224034554435e-004	1.095131e-003
1.610904838125863e-004	9.992119e-004
1.701585641697292e-004	9.112160e-004
1.792266445268721e-004	8.311429e-004
1.882947248840149e-004	7.589925e-004
1.973628052411578e-004	6.947648e-004
2.064308855983006e-004	6.355234e-004
2.154989659554435e-004	5.804816e-004
2.245670463125864e-004	5.296393e-004
2.336351266697292e-004	4.829964e-004
2.427032070268721e-004	4.405531e-004
2.517712873840149e-004	4.023093e-004
2.608393677411578e-004	3.682650e-004
2.618159302411578e-004	3.646861e-004
2.708840105983007e-004	3.335900e-004
2.799520909554435e-004	3.046982e-004
2.890201713125864e-004	2.780108e-004
2.980882516697293e-004	2.535277e-004
3.071563320268721e-004	2.312489e-004
3.162244123840150e-004	2.111745e-004
3.252924927411579e-004	1.933044e-004
3.343605730983007e-004	1.768217e-004
3.434286534554436e-004	1.615074e-004
3.524967338125865e-004	1.473616e-004
3.615648141697293e-004	1.343841e-004
3.706328945268722e-004	1.225751e-004
3.797009748840151e-004	1.119345e-004
3.887690552411579e-004	1.024624e-004
3.978371355983008e-004	9.372559e-005
4.069052159554436e-004	8.560814e-005
4.159732963125865e-004	7.811003e-005
4.250413766697294e-004	7.123124e-005
4.341094570268723e-004	6.497180e-005
4.431775373840151e-004	5.933168e-005
4.522456177411580e-004	5.431090e-005
4.590676724924211e-004	5.076459e-005
4.658897272436843e-004	4.741836e-005
4.727117819949474e-004	4.427220e-005
4.795338367462106e-004	4.132613e-005
4.863558914974737e-004	3.858014e-005
4.931779462487368e-004	3.603423e-005
5.000000010000000e-004	3.368827e-005
5.000000018000000e-004	-4.966312e-003
5.000000020000000e-004	-4.966312e-003
5.039584826706624e-004	-4.774291e-003
5.079169633413249e-004	-4.589047e-003
5.118754440119873e-004	-4.410578e-003
5.158339246826497e-004	-4.238886e-003
5.197924053533122e-004	-4.073969e-003
5.237508860239746e-004	-3.915829e-003
5.277093666946370e-004	-3.764464e-003
5.286859291946370e-004	-3.727880e-003
5.377540095517799e-004	-3.410011e-003
5.468220899089227e-004	-3.114674e-003
5.558901702660656e-004	-2.841871e-003
5.649582506232085e-004	-2.591601e-003
5.740263309803514e-004	-2.363864e-003
5.830944113374943e-004	-2.158660e-003
5.921624916946371e-004	-1.975989e-003
6.012305720517800e-004	-1.807500e-003
6.102986524089228e-004	-1.650955e-003
6.193667327660657e-004	-1.506354e-003
6.284348131232085e-004	-1.373696e-003
6.375028934803514e-004	-1.252983e-003
6.465709738374943e-004	-1.144213e-003
6.556390541946371e-004	-1.047387e-003
6.647071345517800e-004	-9.580782e-004
6.737752149089228e-004	-8.751003e-004
6.828432952660658e-004	-7.984534e-004
6.919113756232086e-004	-7.281373e-004
7.009794559803515e-004	-6.641522e-004
7.100475363374944e-004	-6.064980e-004
7.191156166946372e-004	-5.551748e-004
7.281836970517801e-004	-5.078360e-004
7.372517774089229e-004	-4.638531e-004
7.463198577660658e-004	-4.232258e-004
7.553879381232086e-004	-3.859543e-004
7.644560184803515e-004	-3.520386e-004
7.735240988374944e-004	-3.214786e-004
7.825921791946372e-004	-2.942743e-004
7.880330274089230e-004	-2.787916e-004
7.934738756232087e-004	-2.640314e-004
7.989147238374944e-004	-2.499938e-004
8.043555720517802e-004	-2.366788e-004
8.097964202660659e-004	-2.240864e-004
8.152372684803516e-004	-2.122166e-004
8.206781166946373e-004	-2.010694e-004
8.216546791946373e-004	-1.991153e-004
8.307227595517802e-004	-1.821371e-004
8.397908399089230e-004	-1.663625e-004
8.488589202660659e-004	-1.517914e-004
8.579270006232087e-004	-1.384238e-004
8.669950809803516e-004	-1.262598e-004
8.760631613374945e-004	-1.152994e-004
8.851312416946373e-004	-1.055425e-004
8.941993220517802e-004	-9.654308e-005
9.032674024089231e-004	-8.818161e-005
9.123354827660660e-004	-8.045809e-005
9.214035631232088e-004	-7.337253e-005
9.304716434803517e-004	-6.692491e-005
9.395397238374946e-004	-6.111525e-005
9.486078041946374e-004	-5.594354e-005
9.557227595517799e-004	-5.214222e-005
9.628377149089225e-004	-4.856295e-005
9.699526702660649e-004	-4.520573e-005
9.770676256232074e-004	-4.207056e-005
9.841825809803501e-004	-3.915745e-005
9.912975363374926e-004	-3.646639e-005
9.984124916946351e-004	-3.399737e-005
9.990234375000001e-004	-3.379030e-005
1.000000000000000e-003	-3.346142e-005
