time	V(n001)	V(n002)	V(n003)	I(C1)	I(C2)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
7.142857142857145e-010	7.142857e-001	3.303742e-006	-6.673936e-011	7.142792e-004	3.303808e-009	7.142825e-004
1.428571428571429e-009	1.428571e+000	1.145844e-005	-1.077547e-011	1.428549e-003	1.145845e-008	1.428560e-003
2.142857142857144e-009	2.142857e+000	2.446410e-005	1.678917e-010	2.142808e-003	2.446393e-008	2.142833e-003
2.857142857142858e-009	2.857143e+000	4.232072e-005	4.692621e-010	2.857058e-003	4.232025e-008	2.857101e-003
3.571428571428572e-009	3.571429e+000	6.502830e-005	8.933357e-010	3.571299e-003	6.502741e-008	3.571364e-003
4.285714285714288e-009	4.285714e+000	9.258684e-005	1.440113e-009	4.285529e-003	9.258540e-008	4.285622e-003
5.000000000000000e-009	5.000000e+000	1.249963e-004	2.109593e-009	4.999750e-003	1.249942e-007	4.999875e-003
2.376870030391873e-007	5.000000e+000	1.171644e-002	2.149242e-005	4.976589e-003	1.169494e-005	4.988284e-003
4.703740060783747e-007	5.000000e+000	2.325066e-002	7.145069e-005	4.953570e-003	2.317920e-005	4.976749e-003
7.030610091175619e-007	5.000000e+000	3.472766e-002	1.498769e-004	4.930695e-003	3.457778e-005	4.965272e-003
9.357480121567493e-007	5.000000e+000	4.614744e-002	2.567711e-004	4.907962e-003	4.589066e-005	4.953853e-003
1.168435015195937e-006	5.000000e+000	5.751000e-002	3.921332e-004	4.885372e-003	5.711786e-005	4.942490e-003
1.401122018235124e-006	5.000000e+000	6.881534e-002	5.559633e-004	4.862925e-003	6.825937e-005	4.931185e-003
1.633809021274311e-006	5.000000e+000	8.006345e-002	7.482613e-004	4.840621e-003	7.931519e-005	4.919936e-003
2.610371521274311e-006	5.000000e+000	1.268453e-001	1.765084e-003	4.748074e-003	1.250802e-004	4.873155e-003
3.586934021274311e-006	5.000000e+000	1.727718e-001	3.203796e-003	4.657660e-003	1.695680e-004	4.827228e-003
4.563496521274311e-006	5.000000e+000	2.178259e-001	5.070609e-003	4.569419e-003	2.127553e-004	4.782174e-003
5.540059021274311e-006	5.000000e+000	2.620286e-001	7.352986e-003	4.483296e-003	2.546756e-004	4.737971e-003
6.516621521274311e-006	5.000000e+000	3.054003e-001	1.003871e-002	4.399238e-003	2.953616e-004	4.694600e-003
7.493184021274311e-006	5.000000e+000	3.479610e-001	1.311590e-002	4.317194e-003	3.348451e-004	4.652039e-003
8.469746521274312e-006	5.000000e+000	3.897301e-001	1.657294e-002	4.237113e-003	3.731571e-004	4.610270e-003
9.446309021274313e-006	5.000000e+000	4.307265e-001	2.039855e-002	4.158946e-003	4.103279e-004	4.569273e-003
1.042287152127431e-005	5.000000e+000	4.709686e-001	2.458173e-002	4.082644e-003	4.463869e-004	4.529031e-003
1.139943402127431e-005	5.000000e+000	5.104745e-001	2.911175e-002	4.008163e-003	4.813627e-004	4.489526e-003
1.237599652127432e-005	5.000000e+000	5.492617e-001	3.397819e-002	3.935455e-003	5.152835e-004	4.450738e-003
1.335255902127432e-005	5.000000e+000	5.873473e-001	3.917087e-002	3.864476e-003	5.481765e-004	4.412653e-003
