f	I	Z
1000	0.0012	8333.3333333333
2000	0.002	5100
3000	0.0028	3642.8571428572
4000	0.0036	2833.3333333333
5000	0.00432	2361.1111111111
6000	0.00504	2023.8095238095
7000	0.00576	1770.8333333333
8000	0.0064	1593.75
9000	0.00704	1448.8636363636
10000	0.00768	1328.125
15000	0.01152	885.4166666667
20000	0.01536	651.0416666667
25000	0.0196	510.2040816327
30000	0.02402	407.9933388843
35000	0.03042	335.3057199211
40000	0.03842	255.07548152
45000	0.04642	211.1158983197
50000	0.05762	170.0798333912
55000	0.07522	132.943366126
60000	0.09602	104.144969798
65000	0.12642	79.1014080051
66000	0.12962	75.6056164172
67000	0.13602	72.0482282017
68000	0.14802	67.5584380489
69000	0.15202	65.7808183134
70000	0.16002	62.4921884764
71000	0.16402	60.9681746129
72000	0.17202	58.1327752587
73000	0.17602	55.6754914214
74000	0.17602	55.6754914214
75000	0.18002	55.5493834018
76000	0.18402	54.3419193566
77000	0.18402	55.4287577437
78000	0.18002	56.6603710699
79000	0.17602	56.8117259402
80000	0.17602	57.947960459
85000	0.14402	69.4348007221
90000	0.12402	82.2447992259
95000	0.10002	101.9796040792
100000	0.08802	115.8827539196
105000	0.07602	131.5443304394
110000	0.06402	156.201187129
120000	0.05602	182.0778293467
130000	0.04802	212.4114952103
140000	0.04402	231.7128577919
150000	0.03682	277.0233568713
160000	0.03282	304.6922608166
170000	0.02962	337.60972316
180000	0.02722	374.7244673035
190000	0.02562	398.1264637002
200000	0.02322	430.6632213609
250000	0.0184	554.347826087
300000	0.0144	708.3333333333
350000	0.012	850
400000	0.0104	961.5384615385
450000	0.0088	1136.3636363636
500000	0.0088	1136.3636363636
600000	0.0072	1388.8888888889
700000	0.0064	1562.5
800000	0.0056	1785.7142857143
900000	0.0048	2083.3333333333
1000000	0.004	2500

 
