Freq.	I(R1)	abs(V(n001))/abs(I(R1))
1.00000000000000e+003	1.97467359631944e-006,6.28428931058765e-004	1.59126197694355e+004,0.00000000000000e+000
1.02329299228075e+003	2.06777230362008e-006,6.43072246421754e-004	1.55502719331578e+004,0.00000000000000e+000
1.04712854805090e+003	2.16526201559990e-006,6.58057029356528e-004	1.51961690569566e+004,0.00000000000000e+000
1.07151930523761e+003	2.26735000189226e-006,6.73391260920275e-004	1.48501233908047e+004,0.00000000000000e+000
1.09647819614319e+003	2.37425333211001e-006,6.89083110023548e-004	1.45119514567142e+004,0.00000000000000e+000
1.12201845430196e+003	2.48619934076222e-006,7.05140937945608e-004	1.41814739514550e+004,0.00000000000000e+000
1.14815362149688e+003	2.60342611437734e-006,7.21573302964950e-004	1.38585156514852e+004,0.00000000000000e+000
1.17489755493953e+003	2.72618300190784e-006,7.38388965108425e-004	1.35429053200453e+004,0.00000000000000e+000
1.20226443461741e+003	2.85473114954486e-006,7.55596891022462e-004	1.32344756163666e+004,0.00000000000000e+000
1.23026877081238e+003	2.98934406112781e-006,7.73206258970105e-004	1.29330630069449e+004,0.00000000000000e+000
1.25892541179417e+003	3.13030818539275e-006,7.91226463957628e-004	1.26385076788325e+004,0.00000000000000e+000
1.28824955169313e+003	3.27792353136579e-006,8.09667122994742e-004	1.23506534549037e+004,0.00000000000000e+000
1.31825673855641e+003	3.43250431327348e-006,8.28538080492489e-004	1.20693477110475e+004,0.00000000000000e+000
1.34896288259165e+003	3.59437962641091e-006,8.47849413803136e-004	1.17944412952443e+004,0.00000000000000e+000
1.38038426460288e+003	3.76389415548113e-006,8.67611438906551e-004	1.15257884484837e+004,0.00000000000000e+000
1.41253754462275e+003	3.94140891699625e-006,8.87834716247701e-004	1.12632467274809e+004,0.00000000000000e+000
1.44543977074593e+003	4.12730203741101e-006,9.08530056730168e-004	1.10066769291520e+004,0.00000000000000e+000
1.47910838816821e+003	4.32196956874516e-006,9.29708527870727e-004	1.07559430168059e+004,0.00000000000000e+000
1.51356124843621e+003	4.52582634354032e-006,9.51381460120312e-004	1.05109120480168e+004,0.00000000000000e+000
1.54881661891248e+003	4.73930687109199e-006,9.73560453356869e-004	1.02714541041357e+004,0.00000000000000e+000
1.58489319246111e+003	4.96286627699712e-006,9.96257383555904e-004	1.00374422214064e+004,0.00000000000000e+000
1.62181009735893e+003	5.19698128816306e-006,1.01948440964475e-003	9.80875232364743e+003,0.00000000000000e+000
1.65958690743756e+003	5.44215126553496e-006,1.04325398054687e-003	9.58526315646529e+003,0.00000000000000e+000
1.69824365246174e+003	5.69889928691646e-006,1.06757884242287e-003	9.36685622296399e+003,0.00000000000000e+000
1.73780082874937e+003	5.96777328238211e-006,1.09247204611503e-003	9.15341572091644e+003,0.00000000000000e+000
1.77827941003892e+003	6.24934722491179e-006,1.11794695480271e-003	8.94482848136465e+003,0.00000000000000e+000
1.81970085860998e+003	6.54422237901559e-006,1.14401725187629e-003	8.74098390861621e+003,0.00000000000000e+000
1.86208713666287e+003	6.85302861026446e-006,1.17069694903743e-003	8.54177392160504e+003,0.00000000000000e+000
1.90546071796325e+003	7.17642575879718e-006,1.19800039463426e-003	8.34709289658558e+003,0.00000000000000e+000
1.94984459975804e+003	7.51510508003809e-006,1.22594228224013e-003	8.15683761112970e+003,0.00000000000000e+000
1.99526231496888e+003	7.86979075603423e-006,1.25453765948530e-003	7.97090718939701e+003,0.00000000000000e+000
2.04173794466953e+003	8.24124148100440e-006,1.28380193715117e-003	7.78920304864932e+003,0.00000000000000e+000
