time	U1	I2(right)	I2(left)	I1(left)	I1(right)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.949598209114162e-007	2.485132e-001	2.343115e-004	-1.985245e-004	6.693853e-004	-1.985245e-004
7.899196418228323e-007	4.964927e-001	4.681198e-004	-3.966226e-004	1.337333e-003	-3.966227e-004
1.184879462734249e-006	7.439385e-001	7.014248e-004	-5.942944e-004	2.003843e-003	-5.942944e-004
1.579839283645665e-006	9.908506e-001	9.342267e-004	-7.915398e-004	2.668915e-003	-7.915398e-004
1.974799104557081e-006	1.237229e+000	1.166525e-003	-9.883589e-004	3.332550e-003	-9.883589e-004
2.369758925468497e-006	1.483074e+000	1.398321e-003	-1.184752e-003	3.994747e-003	-1.184752e-003
2.764718746379912e-006	1.728384e+000	1.629613e-003	-1.380718e-003	4.655506e-003	-1.380718e-003
3.755232139237055e-006	2.343243e+000	2.209334e-003	-1.871897e-003	6.311664e-003	-1.871897e-003
4.745745532094197e-006	2.943387e+000	2.775182e-003	-2.351321e-003	7.928188e-003	-2.351321e-003
5.736258924951339e-006	3.528817e+000	3.327157e-003	-2.818992e-003	9.505079e-003	-2.818992e-003
6.726772317808482e-006	4.099534e+000	3.865258e-003	-3.274908e-003	1.104234e-002	-3.274908e-003
7.717285710665624e-006	4.655536e+000	4.389487e-003	-3.719069e-003	1.253996e-002	-3.719069e-003
8.707799103522766e-006	5.196824e+000	4.899842e-003	-4.151477e-003	1.399795e-002	-4.151477e-003
9.698312496379907e-006	5.723398e+000	5.396324e-003	-4.572130e-003	1.541631e-002	-4.572130e-003
1.130266517495133e-005	6.534996e+000	6.161542e-003	-5.220474e-003	1.760240e-002	-5.220474e-003
1.290701785352275e-005	7.264210e+000	6.849084e-003	-5.803006e-003	1.956658e-002	-5.803006e-003
1.451137053209417e-005	7.911040e+000	7.458950e-003	-6.319725e-003	2.130886e-002	-6.319725e-003
1.611572321066559e-005	8.475485e+000	7.991139e-003	-6.770631e-003	2.282922e-002	-6.770632e-003
1.772007588923701e-005	8.957546e+000	8.445651e-003	-7.155725e-003	2.412768e-002	-7.155725e-003
1.932442856780843e-005	9.357223e+000	8.822488e-003	-7.475006e-003	2.520424e-002	-7.475006e-003
2.092878124637984e-005	9.674515e+000	9.121648e-003	-7.728475e-003	2.605888e-002	-7.728475e-003
2.186349106780841e-005	9.806734e+000	9.246311e-003	-7.834098e-003	2.641502e-002	-7.834098e-003
2.279820088923698e-005	9.904643e+000	9.338625e-003	-7.912313e-003	2.667875e-002	-7.912313e-003
2.373291071066554e-005	9.968244e+000	9.398590e-003	-7.963120e-003	2.685006e-002	-7.963120e-003
2.466762053209411e-005	9.997535e+000	9.426207e-003	-7.986519e-003	2.692895e-002	-7.986519e-003
2.560233035352267e-005	9.992516e+000	9.421476e-003	-7.982510e-003	2.691544e-002	-7.982510e-003
2.653704017495124e-005	9.953188e+000	9.384396e-003	-7.951093e-003	2.680951e-002	-7.951093e-003
2.747174999637980e-005	9.879551e+000	9.314967e-003	-7.892268e-003	2.661116e-002	-7.892268e-003
2.756940624637980e-005	9.869875e+000	9.305843e-003	-7.884538e-003	2.658509e-002	-7.884538e-003
2.927141517495126e-005	9.627737e+000	9.077543e-003	-7.691106e-003	2.593288e-002	-7.691106e-003
3.097342410352273e-005	9.288567e+000	8.757755e-003	-7.420160e-003	2.501931e-002	-7.420160e-003
3.267543303209419e-005	8.852363e+000	8.346479e-003	-7.071700e-003	2.384437e-002	-7.071699e-003
3.437744196066566e-005	8.319126e+000	7.843714e-003	-6.645724e-003	2.240806e-002	-6.645724e-003
3.607945088923711e-005	7.688856e+000	7.249462e-003	-6.142233e-003	2.071039e-002	-6.142233e-003
3.778145981780858e-005	6.961553e+000	6.563722e-003	-5.561228e-003	1.875136e-002	-5.561228e-003
3.948346874638004e-005	6.137217e+000	5.786494e-003	-4.902708e-003	1.653096e-002	-4.902708e-003
4.051583481780864e-005	5.606465e+000	5.286074e-003	-4.478718e-003	1.510135e-002	-4.478718e-003
4.154820088923724e-005	5.058118e+000	4.769063e-003	-4.040672e-003	1.362434e-002	-4.040672e-003
4.258056696066584e-005	4.492175e+000	4.235461e-003	-3.588569e-003	1.209994e-002	-3.588569e-003
4.361293303209445e-005	3.908635e+000	3.685269e-003	-3.122408e-003	1.052814e-002	-3.122409e-003
4.464529910352304e-005	3.307499e+000	3.118486e-003	-2.642192e-003	8.908946e-003	-2.642192e-003
4.567766517495165e-005	2.688767e+000	2.535113e-003	-2.147918e-003	7.242354e-003	-2.147918e-003
4.671003124638024e-005	2.052438e+000	1.935148e-003	-1.639588e-003	5.528365e-003	-1.639588e-003
4.717041071066598e-005	1.767915e+000	1.666884e-003	-1.412297e-003	4.761984e-003	-1.412297e-003
