Freq.	V(n007)/10	V(n009)/10	V(n011)/10	V(n019)/10	V(n020)/10	V(n024)/10
1.00000000000000e+001	(-2.08282439196099e+001dB,2.30078164043620e+000°)	(-2.08189672696186e+001dB,4.09652407317561e+000°)	(-2.08289762322040e+001dB,5.01660348954929e-001°)	(-2.59522325212765e+001dB,5.64706218251251e+001°)	(-2.58464816324781e+001dB,5.57202149620525e+001°)	(-2.57347142798559e+001dB,5.50003728838145e+001°)
1.02329299228075e+001	(-2.08280079148297e+001dB,2.31618666349063e+000°)	(-2.08181283142261e+001dB,4.15357406497834e+000°)	(-2.08289420000263e+001dB,4.75171371133904e-001°)	(-2.58243392956466e+001dB,5.59121475705919e+001°)	(-2.57156202647105e+001dB,5.51267545697092e+001°)	(-2.56004608159365e+001dB,5.43730489229449e+001°)
1.04712854805090e+001	(-2.08277645633479e+001dB,2.33281685928302e+000°)	(-2.08172537426266e+001dB,4.21280474346613e+000°)	(-2.08289099234277e+001dB,4.48934122648611e-001°)	(-2.56985550474392e+001dB,5.53516226484404e+001°)	(-2.55868501251474e+001dB,5.45297968228177e+001°)	(-2.54682556977260e+001dB,5.37407866228362e+001°)
1.07151930523761e+001	(-2.08275133504514e+001dB,2.35068086982330e+000°)	(-2.08163417223260e+001dB,4.27424600877758e+000°)	(-2.08288799344165e+001dB,4.22934708601106e-001°)	(-2.55749028211814e+001dB,5.47893834654124e+001°)	(-2.54601985880547e+001dB,5.39296405811561e+001°)	(-2.53381295401137e+001dB,5.31038441780581e+001°)
1.09647819614319e+001	(-2.08272537448840e+001dB,2.36978797667213e+000°)	(-2.08153903435541e+001dB,4.33792882437890e+000°)	(-2.08288519694245e+001dB,3.97159359259555e-001°)	(-2.54534036721803e+001dB,5.42257759632920e+001°)	(-2.53356912635370e+001dB,5.33265947965230e+001°)	(-2.52101113977444e+001dB,5.24624902141828e+001°)
1.12201845430196e+001	(-2.08269851977339e+001dB,2.39014810496063e+000°)	(-2.08143976154200e+001dB,4.40388522596117e+000°)	(-2.08288259691729e+001dB,3.71594422831076e-001°)	(-2.53340765734210e+001dB,5.36611549814147e+001°)	(-2.52133518977473e+001dB,5.27209779570810e+001°)	(-2.50842286587721e+001dB,5.18170033163056e+001°)
1.14815362149688e+001	(-2.08267071412837e+001dB,2.41177182767898e+000°)	(-2.08133614619167e+001dB,4.47214833037342e+000°)	(-2.08288018785463e+001dB,3.46226358293909e-001°)	(-2.52169383288482e+001dB,5.30958835715128e+001°)	(-2.50932022783623e+001dB,5.21131174797028e+001°)	(-2.49605069425889e+001dB,5.11676715022428e+001°)
1.17489755493953e+001	(-2.08264189878222e+001dB,2.43467037022449e+000°)	(-2.08122797177649e+001dB,4.54275234456042e+000°)	(-2.08287796464768e+001dB,3.21041728283095e-001°)	(-2.51020034937052e+001dB,5.25303322682557e+001°)	(-2.49752621460616e+001dB,5.15033490528338e+001°)	(-2.48389700022986e+001dB,5.05147916419901e+001°)
1.20226443461741e+001	(-2.08261201284158e+001dB,2.45885561522137e+000°)	(-2.08111501240923e+001dB,4.61573257447091e+000°)	(-2.08287592258354e+001dB,2.96027192028268e-001°)	(-2.49892843025571e+001dB,5.19648783193206e+001°)	(-2.48595491127151e+001dB,5.08920159329078e+001°)	(-2.47196396326942e+001dB,4.98586688255633e+001°)
1.23026877081238e+001	(-2.08258099316357e+001dB,2.48434010759362e+000°)	(-2.08099703239392e+001dB,4.69112543390032e+000°)	(-2.08287405733323e+001dB,2.71169498340568e-001°)	(-2.48787906055691e+001dB,5.13999048792821e+001°)	(-2.47460785869453e+001dB,5.02794681978516e+001°)	(-2.46025355844682e+001dB,4.91996156818659e+001°)
1.25892541179417e+001	(-2.08254877422401e+001dB,2.51113705989832e+000°)	(-2.08087378575848e+001dB,4.76896845323113e+000°)	(-2.08287236494257e+001dB,2.46455478642211e-001°)	(-2.47705298135456e+001dB,5.08358001720135e+001°)	(-2.46348637076777e+001dB,4.96660619616911e+001°)	(-2.44876754853573e+001dB,4.85379516517497e+001°)
1.28824955169313e+001	(-2.08251528798069e+001dB,2.53926035791243e+000°)	(-2.08074501576858e+001dB,4.84930028802747e+000°)	(-2.08287084182377e+001dB,2.21872040039109e-001°)	(-2.46645068521643e+001dB,5.02729566266509e+001°)	(-2.45259152862367e+001dB,4.90521585547060e+001°)	(-2.43750747688749e+001dB,4.78740022189279e+001°)
1.31825673855641e+001	(-2.08248046373158e+001dB,2.56872456647044e+000°)	(-2.08061045442210e+001dB,4.93216072743863e+000°)	(-2.08286948474786e+001dB,1.97406158429500e-001°)	(-2.45607241257594e+001dB,4.97117699924753e+001°)	(-2.44192417574746e+001dB,4.84381236739795e+001°)	(-2.42647466112349e+001dB,4.72080981028668e+001°)
1.34896288259165e+001	(-2.08244422796765e+001dB,2.59954493554464e+000°)	(-2.08046982192330e+001dB,5.01759070236573e+000°)	(-2.08286829083784e+001dB,1.73044871648373e-001°)	(-2.44591814909262e+001dB,4.91526384383097e+001°)	(-2.43148491403496e+001dB,4.78243265095326e+001°)	(-2.41567018770088e+001dB,4.65405744182104e+001°)
1.38038426460288e+001	(-2.08240650421994e+001dB,2.63173740657307e+000°)	(-2.08032282613610e+001dB,5.10563229333777e+000°)	(-2.08286725756261e+001dB,1.48775272642225e-001°)	(-2.43598762401292e+001dB,4.85959616422051e+001°)	(-2.42127410082861e+001dB,4.72111388515171e+001°)	(-2.40509490739896e+001dB,4.58717698056761e+001°)
1.41253754462275e+001	(-2.08236721290064e+001dB,2.66531861901755e+000°)	(-2.08016916201548e+001dB,5.19632873804297e+000°)	(-2.08286638273158e+001dB,1.24584502671697e-001°)	(-2.42628030954042e+001dB,4.80421398772978e+001°)	(-2.41129184695673e+001dB,4.65989341841754e+001°)	(-2.39474943176599e+001dB,4.52020255396893e+001°)
1.44543977074593e+001	(-2.08232627113798e+001dB,2.70030591715966e+000°)	(-2.08000851101640e+001dB,5.28972443845614e+000°)	(-2.08286566449008e+001dB,1.00459744537583e-001°)	(-2.41679542121549e+001dB,4.74915730997557e+001°)	(-2.40153801579183e+001dB,4.59880867724237e+001°)	(-2.38463413055793e+001dB,4.45316846183009e+001°)
1.47910838816821e+001	(-2.08228359260431e+001dB,2.73671735711753e+000°)	(-2.07984054047934e+001dB,5.38586496749805e+000°)	(-2.08286510131539e+001dB,7.63882158289772e-002°)	(-2.40753191929482e+001dB,4.69446600446982e+001°)	(-2.39201222333488e+001dB,4.53789707470130e+001°)	(-2.37474913019219e+001dB,4.38610908411368e+001°)
1.51356124843621e+001	(-2.08223908733742e+001dB,2.77457171408543e+000°)	(-2.07966490299161e+001dB,5.48479707515860e+000°)	(-2.08286469201356e+001dB,5.23571621875418e-002°)	(-2.39848851111229e+001dB,4.64017973358653e+001°)	(-2.38271383932289e+001dB,4.47719591942357e+001°)	(-2.36509431323013e+001dB,4.31905878812741e+001°)
1.54881661891248e+001	(-2.08219266155444e+001dB,2.81388848978482e+000°)	(-2.07948123572372e+001dB,5.58656869401342e+000°)	(-2.08286443571681e+001dB,2.83538505867324e-002°)	(-2.38966365439384e+001dB,4.58633786146383e+001°)	(-2.37364198934808e+001dB,4.41674232560970e+001°)	(-2.35566931889324e+001dB,4.25205183570079e+001°)
1.58489319246111e+001	(-2.08214421745813e+001dB,2.85468792011740e+000°)	(-2.07928915973989e+001dB,5.69122894405187e+000°)	(-2.08286433188180e+001dB,4.36556262132412e-003°)	(-2.38105556149023e+001dB,4.53297936937695e+001°)	(-2.36479555796772e+001dB,4.35657312467358e+001°)	(-2.34647354460821e+001dB,4.18512229094765e+001°)
1.62181009735893e+001	(-2.08209365303513e+001dB,2.89699098302056e+000°)	(-2.07908827928189e+001dB,5.79882813673923e+000°)	(-2.08286438028838e+001dB,-1.96204121956790e-002°)	(-2.37266220448402e+001dB,4.48014277408794e+001°)	(-2.35617319277507e+001dB,4.29672477907038e+001°)	(-2.33750614856729e+001dB,4.11830392920372e+001°)
1.65958690743756e+001	(-2.08204086184589e+001dB,2.94081940650403e+000°)	(-2.07887818102543e+001dB,5.90941777821851e+000°)	(-2.08286458103917e+001dB,-4.36167831323406e-002°)	(-2.36448132111953e+001dB,4.42786604964126e+001°)	(-2.34777330939338e+001dB,4.23723329884373e+001°)	(-2.32876605328105e+001dB,4.05163014771476e+001°)
1.69824365246174e+001	(-2.08198573280569e+001dB,2.98619567686873e+000°)	(-2.07865843330826e+001dB,6.02305057156269e+000°)	(-2.08286493455978e+001dB,-6.76362649355390e-002°)	(-2.35651042149815e+001dB,4.37618655303430e+001°)	(-2.33959409734726e+001dB,4.17813416139498e+001°)	(-2.32025195009209e+001dB,3.98513387862975e+001°)
1.73780082874937e+001	(-2.08192814995658e+001dB,3.03314304708767e+000°)	(-2.07842858532911e+001dB,6.13978041797301e+000°)	(-2.08286544159971e+001dB,-9.16915845331673e-002°)	(-2.34874679547552e+001dB,4.32514095414601e+001°)	(-2.33163352675857e+001dB,4.11946223493999e+001°)	(-2.31196230461020e+001dB,3.91884750482624e+001°)
1.77827941003892e+001	(-2.08186799222959e+001dB,3.08168554534758e+000°)	(-2.07818816631675e+001dB,6.25966241681895e+000°)	(-2.08286610323390e+001dB,-1.15795487740838e-001°)	(-2.34118752069236e+001dB,4.27476517025862e+001°)	(-2.32388935580777e+001dB,4.06125170607705e+001°)	(-2.30389536302159e+001dB,3.85280277906223e+001°)
