f H phi
10	-23.8261601379	57.6
20	-21.4738649469	44.64
30	-20.7285853125	37.8
40	-20.4585992129	33.12
50	-20.4040677218	28.8
60	-20.2944651364	30.24
70	-20	30.24
80	-19.8090936419	34.56
90	-19.6303318861	35.64
100	-19.4512350331	36
200	-17.7917503318	50.4
300	-15.3772234923	53.46
400	-13.6342199779	56.016
500	-11.751722466	57.6
600	-10.6981288805	62.64
700	-9.4667541398	57.96
800	-8.580713649	54.72
900	-7.7178817808	58.32
1000	-7.1501600118	57.6
2000	-3.3764737755	40.32
3000	-1.8169058038	31.32
4000	-1.241566277	24.48
5000	-0.9138094996	19.8
6000	-0.7019803238	17.28
7000	-0.5979720206	15.12
8000	-0.4951944317	13.248
9000	-0.4951944317	12.312
10000	-0.4951944317	10.08
20000	-0.3936187717	4.68
30000	-0.2932172534	2.808
40000	-0.5127840371	3.456
50000	-0.5979720206	3.6
60000	-0.5979720206	4.32
70000	-0.3512344641	5.04
80000	-0.4027752748	5.76
90000	-0.5527704377	6.48
100000	-0.4546237478	7.2
