00:0c:29:b6:b5:48	172.16.254.128
00:50:56:c0:00:08	172.16.254.1	
00:50:56:f3:f2:f6	104.16.12.8
00:50:56:f3:f2:f6	104.16.13.8
00:50:56:f3:f2:f6	172.16.254.2
00:50:56:f3:f2:f6	173.194.42.215
00:50:56:f3:f2:f6	173.194.65.94
00:50:56:f3:f2:f6	174.129.223.41
00:50:56:f3:f2:f6	176.34.254.176
00:50:56:f3:f2:f6	190.93.242.118
00:50:56:f3:f2:f6	195.54.48.9
00:50:56:f3:f2:f6	198.41.208.122
00:50:56:f3:f2:f6	198.41.208.145
00:50:56:f3:f2:f6	198.41.208.146
00:50:56:f3:f2:f6	198.41.208.147
00:50:56:f3:f2:f6	198.41.209.141
00:50:56:f3:f2:f6	198.41.209.145
00:50:56:f3:f2:f6	199.16.156.21
00:50:56:f3:f2:f6	199.96.57.6
00:50:56:f3:f2:f6	216.58.208.196
00:50:56:f3:f2:f6	216.58.208.202
00:50:56:f3:f2:f6	216.58.208.206
00:50:56:f3:f2:f6	216.58.208.225
00:50:56:f3:f2:f6	216.58.208.226
00:50:56:f3:f2:f6	216.58.208.227
00:50:56:f3:f2:f6	216.58.208.237
00:50:56:f3:f2:f6	216.58.208.238
00:50:56:f3:f2:f6	216.58.211.74
00:50:56:f3:f2:f6	23.192.162.171
00:50:56:f3:f2:f6	23.205.82.104
00:50:56:f3:f2:f6	23.205.92.118
00:50:56:f3:f2:f6	23.21.60.15
00:50:56:f3:f2:f6	31.13.93.3
00:50:56:f3:f2:f6	37.252.163.152
00:50:56:f3:f2:f6	37.252.163.209
00:50:56:f3:f2:f6	54.192.79.107
00:50:56:f3:f2:f6	54.225.150.134
00:50:56:f3:f2:f6	54.227.250.135
00:50:56:f3:f2:f6	54.230.78.45
00:50:56:f3:f2:f6	54.231.10.92
00:50:56:f3:f2:f6	54.231.32.188
00:50:56:f3:f2:f6	54.241.33.115
00:50:56:f3:f2:f6	54.241.5.77
00:50:56:f3:f2:f6	81.166.122.238
00:50:56:f3:f2:f6	85.17.147.182
00:50:56:f3:f2:f6	88.221.83.58
00:50:56:f3:f2:f6	88.221.83.67
00:50:56:f3:f2:f6	88.221.83.73
00:50:56:f3:f2:f6	88.221.83.80
00:50:56:f3:f2:f6	8.8.8.8
00:50:56:f3:f2:f6	93.184.220.188
01:00:5e:00:00:fc	224.0.0.252	
ff:ff:ff:ff:ff:ff	172.16.254.255
